Name,Adresse,Telefonnummer,Email,Kinder,Verheiratet
Hans-Günter Hornich,"Margaretha-Kade-Straße 298, 55747 Freising",00326081170,oskarschmidt@gmx.de,0,True
Dipl.-Ing. Fredy Trommler,"Riehlring 0, 43389 Bersenbrück",0503580317,clarajunitz@gmail.com,0,True
Herr Nikola Oestrovsky,"Boucseinweg 714, 80070 Bruchsal",+49 (0) 9351 883347,nknappe@heidrich.com,0,False
Ottilie Klemt,"Jens-Roskoth-Ring 868, 82447 Hohenmölsen",(03447) 77489,blankaweihmann@lehmann.de,2,True
Elsbeth Preiß,"Drewesstraße 68, 92802 Regensburg",+49(0)8472 593233,timohiller@mende.de,1,True
Ing. Vincent Hethur B.Eng.,"Wilmsenweg 4/5, 54985 Weimar",(04358) 248934,eimerdennis@hornich.de,0,False
Dunja Bloch-Seifert,"Hänelallee 989, 97848 Ludwigslust",+49 (0) 1947 748551,annikapaertzelt@gmx.de,0,False
Gudula Sontag B.A.,"Kreinweg 280, 06882 Nördlingen",07620 064287,rschmiedt@berger.de,4,False
Univ.Prof. Paul Ritter,"Ruppertstr. 4/1, 71234 Aschaffenburg",+49(0)9597 079074,heringgabriella@googlemail.com,2,True
Florian Seidel,"Tröstring 74, 85137 Hainichen",+49 (0) 6623 545264,franketraute@gmx.de,3,False
Ellinor Söding-Jockel,"Dino-Hövel-Weg 2, 45444 Forst",08367 981874,rigokambs@yahoo.de,0,False
Leo Steinberg B.Eng.,"Sontagstraße 14, 59627 Aachen",+49(0)4820 629925,arif08@googlemail.com,1,True
Wladimir Schönland,"Misicherstraße 842, 70222 Rothenburg ob der Tauber",+49(0)9828 560132,nadin84@gmail.com,3,True
Karin Kallert,"Schleichstraße 158, 67905 Norden",02044867803,pawelmatthaei@gmail.com,0,True
Frau Beata Hentschel,"Spießring 263, 84754 Greifswald",+49(0) 376601737,florencegertz@gmail.com,2,False
Hilma Pergande,"Steystr. 930, 61618 Niesky",+49(0) 425711350,jweinhage@klingelhoefer.com,3,False
Hans-Hinrich Otto,"Gönül-Dörr-Straße 20, 50440 Naila",+49 (0) 1492 328277,kensyhildegard@hotmail.de,3,True
Rafael Seidel B.Sc.,"Heckerweg 9, 46918 Anklam",+49(0) 621282856,xmisicher@doehn.com,2,True
Frau Justine Flantz B.Eng.,"Baumallee 209, 11080 Helmstedt",+49 (0) 7529 982647,heintzesergio@baerer.de,4,True
Sylke Carsten,"Vollbrechtallee 93, 18063 Stadtsteinach",+49(0)3104 475354,rosinahornig@oestrovsky.com,3,False
Anastasios Johann,"Stumpfallee 5/2, 66185 Ilmenau",02267578906,angelina50@roehrdanz.de,3,False
Alan Müller,"Dippelweg 427, 79578 Dinslaken",+49(0)5566 06658,jacquelineroerricht@googlemail.com,2,True
Theo Loos,"Tobias-Börner-Straße 3, 17530 Stadtsteinach",09186195160,roehrichtimre@bauer.de,0,False
Claudio Kühnert,"Marita-Ackermann-Straße 7, 44165 Oberviechtach",(03013) 627733,alberto11@poelitz.com,0,False
Ing. Gertrud Drewes B.A.,"Klingelhöferweg 6/6, 75195 Husum",+49(0) 144094738,ernstriza@heser.com,3,False
Annekatrin Gröttner-Gieß,"Carstenstraße 3/1, 66419 Pritzwalk",+49(0) 074682230,evihoffmann@yahoo.de,3,True
Svetlana Staude,"Stolzeallee 5, 04391 Demmin",+49(0) 056182164,gerhardt91@aol.de,2,True
Karl-Heinz Döring,"Gustav-Schulz-Allee 59, 24705 Heiligenstadt",+49(0) 362611362,vogtedelgard@bolzmann.de,3,True
Victor Nerger-Wesack,"Benthinplatz 5, 90725 Göppingen",(01815) 67908,sgraf@zirme.de,4,True
Dipl.-Ing. Leszek Wilmsen MBA.,"Simon-Rohleder-Weg 7/4, 41463 Northeim",00138 37595,magnusstiebitz@schomber.org,4,False
Ing. Edeltrud Linke MBA.,"Elenore-Ernst-Ring 051, 43164 Schwäbisch Gmünd",+49(0) 441369483,linkemarian@gmx.de,3,False
Susi Drewes,"Gierschnerstraße 10, 22543 Bogen",+49(0)2332 74262,ykabus@yahoo.de,4,True
Frau Mechthilde Tlustek,"Henni-Junitz-Gasse 829, 61617 Koblenz",0690696186,catharina43@aol.de,4,True
Dr. Gilda Trüb,"Gabriela-Scholtz-Gasse 977, 30759 Wunsiedel",(03991) 82027,cweihmann@aol.de,4,False
Amalia Matthäi-Eimer,"Römerstraße 6, 53482 Calau",0295962974,joachimschinke@boerner.net,1,False
Anne Eberth MBA.,"Sandro-Häring-Gasse 4, 77512 Lemgo",+49(0)1920503958,qdobes@hotmail.de,3,False
Nico Klemm,"Thanelweg 025, 94362 Freital",0972324704,zheser@drubin.com,0,True
Slawomir Mülichen,"Wulffstr. 13, 83336 Lichtenfels",(09289) 23085,rotraud04@sager.de,2,True
Dipl.-Ing. Gertrude Wohlgemut,"Brian-Fischer-Ring 3, 48678 Borna",00746612809,karl-georg60@beier.de,0,False
Silva Meister,"Hanns-Hethur-Ring 774, 91780 Neustadt am Rübenberge",(05396) 798921,dariusbolzmann@gmail.com,4,True
Jolanda Gnatz,"Gießstraße 569, 08700 Rockenhausen",+49(0)0050683465,ernst70@stey.de,0,False
Ljudmila Säuberlich,"Karzplatz 3, 60530 Dieburg",07675 22426,imelda95@yahoo.de,4,False
Marzena Hering,"Rustring 82, 76050 Bautzen",09317 009638,saeuberlichflorian@jacob.org,2,True
Cemal Heinrich,"Haaseweg 9, 39879 Gardelegen",+49(0) 467666868,hrohleder@hotmail.de,4,False
Dr. Hanne Kraushaar MBA.,"Ilka-Müller-Allee 0/9, 67487 Querfurt",+49(0)0612 11280,burkhardheidrich@web.de,0,False
Dipl.-Ing. Katalin Putz B.Eng.,"Emmy-Koch-Allee 9, 51742 Burglengenfeld",+49(0)6675266434,jschoenland@kroker.de,0,False
Dr. Alan Bohlander,"Bernd-Dieter-Hofmann-Straße 9, 83658 Soltau",+49 (0) 6201 709957,kaesterklara@junitz.com,0,False
Rudi Lindau MBA.,"Katy-Söding-Platz 3, 25695 Dachau",(09652) 162436,ulfspiess@aol.de,2,True
Leif Stiffel B.Sc.,"Osman-Bonbach-Allee 44, 86639 Scheinfeld",+49(0)4027 18975,heinz-gerdreichmann@baehr.com,4,True
Yilmaz Bien,"Guntram-Mälzer-Allee 6, 84383 Schwabmünchen",01783 25363,holstenxenia@gmail.com,2,False
Eckhard Fiebig MBA.,"Segebahnweg 4/7, 32503 Nördlingen",(09179) 46349,msiering@lachmann.org,2,False
Eva-Maria Reichmann B.A.,"Reinald-Schweitzer-Ring 777, 85251 Gardelegen",+49 (0) 8018 465711,karzdorle@googlemail.com,4,False
Manja Gierschner B.A.,"Ladeckplatz 82, 00095 Hohenstein-Ernstthal",(09177) 430686,cheser@wesack.de,2,True
Herr Samuel Ruppert B.Eng.,"Anastasia-Schleich-Allee 9/0, 00050 Hohenmölsen",(01474) 90242,bohnbachnancy@yahoo.de,3,False
Ing. Eleonore Hellwig,"Adlerplatz 97, 51592 Hildesheim",01308 33799,moechlichenwanda@hesse.com,3,False
Dusan Dussen van-Gorlitz,"Mato-Wohlgemut-Gasse 344, 33849 Tirschenreuth",+49(0)4709 89456,xwaehner@aol.de,4,False
Sönke Plath,"Veronika-Scholz-Straße 09, 29928 Säckingen",+49(0)0832 37832,giessjanko@web.de,4,True
Prof. Hans-Jörg Preiß B.Sc.,"Mangoldstraße 8/5, 06458 Neustadt am Rübenberge",(05132) 504318,cwieloch@gmx.de,0,True
Cecilia Hornig,"Erika-Drub-Ring 0, 63824 Dinkelsbühl",+49(0)1221 595549,jmaelzer@hotmail.de,3,True
Ottokar Seifert,"Ira-Seifert-Ring 357, 31269 Eisenberg",+49 (0) 1489 555891,ursellachmann@gerlach.com,3,False
Dr. Bernd Klemm B.A.,"Siegrid-Hölzenbecher-Ring 5/4, 39102 Bad Kissingen",(05575) 885683,marcusgierschner@tintzmann.net,2,True
Dipl.-Ing. Silva Adler,"Beyerstraße 230, 08963 Demmin",04242 942946,marijan11@gmx.de,1,True
Denny Heuser B.A.,"Kensyweg 635, 53696 Wolgast",0191574104,katarina79@ritter.com,3,True
Roswita Wulff,"Loni-Butte-Allee 6, 69835 Düren",+49(0) 081059674,lseidel@gmail.com,3,False
Dipl.-Ing. Jacqueline Hartung,"Biengasse 7/1, 03027 Potsdam",0201984721,frankefolker@aol.de,4,True
Amelie Klingelhöfer,"Tim-Kruschwitz-Straße 3/2, 22388 Calau",+49(0)7004 13652,danutakoch@dippel.de,0,False
